date,title,clue,hint,notes,slot_1_name,slot_1_answer,slot_1_decoy,slot_2_name,slot_2_answer,slot_2_decoy,slot_3_name,slot_3_answer,slot_3_decoy,slot_4_name,slot_4_answer,slot_4_decoy,slot_5_name,slot_5_answer,slot_5_decoy
2026-12-02,Mixed Doubles Power Play Setup,Arrange the step-by-step procedure when the team with hammer invokes the Mixed Doubles Power Play.,The Power Play moves the pre-placed rocks from the centre line out to one of the wings.,The hammer team announces the Power Play before stone delivery. The stationary stones are placed on the chosen wing: a corner guard in the free guard zone and a house stone biting the 8-foot and 4-foot on the tee line. The center line remains clear.,Step 1,Hammer Team Elects Power Play,Opponent Calls Timeout,Step 2,Choosing Ice Wing (Left or Right),Drawing Pin,Step 3,Placing Corner Guard in Free Guard Zone,Centre Guard Setup,Step 4,Placing Wing Stone in House on Tee Line,Placing Rock on Button,Step 5,Delivering Open Center Draw or Roll,Peeling Power Stone
2026-12-03,Pre-Game Stone Matching Process,Arrange the routine competitive skips follow during pre-game practice to match their stones.,Teams throw stones along identical lines to detect differences in speed and curl between rocks.,"Teams begin by throwing stones on a split path, clocking hog-to-hog split times to measure base speed, charting curl distance, pairing matched rocks together, and assigning the most predictable pair to the skip.",Step 1,Throwing Matched Paths on Fresh Pebble,Reading Clocks,Step 2,Stopwatch Timing from Hog to Hog,Measuring House,Step 3,Charting Break Point & Curl Width,Scraping Hack,Step 4,Pairing Rocks into Sets of Two,Flipping Handles,Step 5,Assigning Predictable Stones to Skip,Assigning Stones by Color
2026-12-04,Official Ruling on a Burned Stone,Arrange the official protocol when a moving stone between the hog lines is accidentally touched by a sweeper's brush.,The offending team must immediately declare the infraction before the opposing skip chooses the remedy.,"The sweeper must immediately declare the burn. All play continues until the stone comes to rest. The non-offending skip then selects one of three official remedies: allow stones to stand, remove the burned stone and replace displaced rocks, or place rocks where they would have rested.",Step 1,Sweeper Declares Accidental Broom Touch,Umpire Blows Whistle,Step 2,Stone Allowed to Complete Its Run,Halting Stone with Foot,Step 3,Summoning Non-Offending Skip,Calling Re-throw,Step 4,Non-Offending Team Selects Official Remedy,Automatic Disqualification,Step 5,Resetting Stones or Removing Burned Rock,Forfeiting the End
2026-12-05,Five-End Game Half-Time Sequence,Arrange the standard competition events that occur during the mid-game fifth-end intermission.,In a ten-end championship match the fifth end signals the break where coaches consult before ice maintenance.,"At the completion of the 5th end, the official break clock starts. Players meet coaches in designated areas, refreshments are taken, ice crew conducts mid-game nipping or sweeping, and teams return for 6th-end practice slides.",Step 1,Fifth End Score Verified & Clock Starts,Final Stone Thrown,Step 2,Coach & Alternate Consultation Period,Press Interview,Step 3,Player Hydration & Equipment Check,Stone Polishing,Step 4,Ice Crew Mid-Game Pebble Maintenance,Sheet Flooding,Step 5,Sixth End Hack Re-entry & First Delivery,Coin Toss
2026-12-06,World Men's Championship Eras,Arrange these historic men's world curling championships by decade and landmark milestone.,The Scotch Cup began in 1959; European and Asian hosts expanded the event worldwide.,"The inaugural Scotch Cup was played at Falkirk in 1959. In 1968 it became the Silver Broom. The 1979 event was held in Bern, Switzerland. In 2008 Grand Forks marked a modern North American classic, and Beijing 2014 was the first Men's Worlds held in Asia.",1960,Falkirk Inaugural Scotch Cup,London Cup,1969,Pointe-Claire Silver Broom Debut,Paris Trophy,1980,Bern World Championship in Europe,Oslo Games,2009,Grand Forks North American Showcase,Tokyo Event,2015,Beijing First Asian Men's Worlds,Sydney Open
2026-12-07,Thinking Time Clock Operations,Arrange the sequence of game-clock time operations in a timed elite curling match.,Thinking time runs only after the opposing stones come to rest and stops when the delivering stone crosses the tee line.,Thinking time begins when opponent stones come to rest and the house is cleared. The clock counts down while the skip calls the shot and the curler enters the hack. The clock stops the moment the delivered stone reaches the delivery tee line.,Trigger 2,Opponent Stone Comes to Full Stop,Stone Leaves Hack,Trigger 3,Skip Calls Strategy & Signals Ice,Sweepers Run,Running Clock,Time Ticks During Slider Push in Hack,Stone Hits Broom,Clock Stop,Delivered Stone Reaches Delivery Tee Line,Stone Crosses Hog Line,Post-Delivery,No Time Charged While Stone Travels Downsheet,Clock Resets to Zero
2026-12-08,Extra End Sudden Death Flow,Arrange the sequence of an extra end in a tied championship game from the regulation finish to victory.,The team without hammer throws first; the hammer team holds last stone advantage to win.,"In an extra end, play begins immediately with no hammer redraw; the team that scored in regulation gives up hammer. Non-hammer plays aggressive center guards, hammer team keeps wings open or clears guards, and the final hammer rock delivers either a steal or match-winning shot.",Phase 2,Tied Game at Regulation End,Coin Toss,Phase 3,Hammer Retained by Team Blanking or Surrendering,Re-shuffling Rocks,Phase 4,Non-Hammer Puts Center Guards in Play,Non-Hammer Peels,Phase 5,Hammer Team Clears Guards or Draws Wings,Hammer Team Blanks,Phase 6,Final Hammer Delivery Determines Champion,Re-match Next Day
2026-12-09,Curler Footwear and Sliding Setup,Arrange the components and attachments of competitive curling footwear from the ice surface upward.,The Teflon slider contacts the ice while the protective pull-on slip protects it off-sheet.,"Curling footwear consists of a flat Teflon slider bonded under the sliding foot, topped by a protective slip-on rubber gripper for walking, the leather shoe body, custom orthotic insoles, and elasticated ankle lace covers.",Base Contact,Teflon Slider Plate,Rubber Hack Gripper,Protective Layer,Removable Slip-on Gripper,Wool Felt Sock,Footwear Base,Leather Upper Shoe,Neoprene Boot,Interior Support,Cushioned Insole Bed,Steel Shank Plate,Upper Closure,Ankle Cuff & Lace Cover,Velcro Gaiter Strap
2026-12-10,Blanking an End with Hammer,Arrange the sequential tactical shots played by the hammer team executing a deliberate blank end.,The skip removes guards and avoids leaving any counting stones in the rings before throwing through.,"To blank an end, the hammer team peels center guards on turns 1 and 2, hits and rolls opponent biters out of play on turns 3 and 4, keeps the four-foot clear, and delivers the final hammer stone cleanly through the rings to retain hammer.",Opening Stones,Peeling Lead Center Guard,Drawing to Four-Foot,Middle Stones,Peeling Second Guard into Open Ice,Freezing Behind Guard,Late Stones,Hit and Roll Opponent Out of Rings,Tapping Opponent Stone,Skip Call,Sweeping House Clean of Biters,Throwing Corner Guard,Hammer Throw,Delivering Final Rock Through House,Drawing for Single Point
2026-12-11,Men's Olympic Gold Medal Skips,Arrange these men's Olympic gold medal winning skips in chronological order of their triumphs.,Rhona Martin and Kevin Martin won in different eras; Brad Gushue took gold in 2006 before Niklas Edin won in 2022.,"Egebjerg / Great Britain won in 1924, Kevin Martin led Canada in 2002 silver and 2010 gold, Brad Gushue captured gold in 2006, Brad Jacobs in 2014, John Shuster in 2018, and Niklas Edin in 2022.",2007 Turin,Brad Gushue,Markku Uusipaavalniemi,2011 Vancouver,Kevin Martin,Thomas Ulsrud,2015 Sochi,Brad Jacobs,David Murdoch,2019 PyeongChang,John Shuster,Niklas Edin,2023 Beijing,Niklas Edin,Bruce Mouat
2026-12-12,Granite Quarry to Competition Stone,Arrange the industrial manufacturing stages of an official Olympic curling stone from raw island rock to certified game piece.,Stones originate as blasted granite blocks on Ailsa Craig before CNC lathe milling and striking band peening.,"Raw granite is quarried from Ailsa Craig, core-drilled into cylindrical billets, diamond-lathed into crown and running edges, impact-peened to form the Treblessed striking band, and fitted with handles.",Quarrying,Blasting Ailsa Craig Granite,Shaping Slate Blocks,Core Extraction,Diamond Core-Drilling Cylinders,Waterjet Slab Cutting,Contouring,CNC Lathe Crown & Running Edge,Hand Chisel Shaping,Surface Treatment,Pneumatic Peening Striking Band,Epoxy Resin Coating,Assembly,Torquing Handle & Center Bolt,Gluing Plastic Ring
2026-12-13,Directional Sweeping Hydrodynamics,Arrange the physical interactions that occur beneath a competitive broom head during high-force brushing.,Sweeper friction warms the ice surface micro-droplets to reduce friction and alter stone path.,"Effective brushing begins with downward body weight transfer, generating frictional head heat, creating a thin transient liquid water film on pebble summits, abrading frost needles, and steering stone curl directionally.",Phase 2,Downforce Pressure Application,Hover Dusting,Phase 3,Frictional Heat Generation,Air Cushion Formation,Phase 4,Transient Pebble Surface Melting,Pebble Crushing,Phase 5,Frost Shearing & Path Polishing,Ice Scuffing,Phase 6,Asymmetric Curl Direction Steering,Static Deceleration
2026-12-14,Executing the Free Guard Tick Shot,Arrange the step-by-step execution and mechanical outcome of a legal tick shot under five-rock rules.,The stone strikes an opponent center guard softly to shift it to the wing without pushing it out of play.,"The curler delivers bumper weight aimed at the guard's outer edge; the thrown rock makes a glancing angle contact, nudging the opponent guard into the corner wing while both stones legally remain in play outside the house.",Step 2,Aligning Angle to Guard Outer Edge,Aiming Straight at Nose,Step 3,Delivering Controlled Bumper Weight,Throwing Heavy Peel,Step 4,Glancing Impact on Guard Shoulder,Flush Centerline Head-on Hit,Step 5,Deflecting Opponent Guard to Wing,Driving Guard Past Back Line,Step 6,Shooter Rolls Safely to Side Margin,Shooter Biting Four-Foot
2026-12-15,Historic 1985 Brier Hackner Double Sequence,Arrange the tactical events leading up to Al Hackner's legendary double takeout against Pat Ryan in the 1985 Brier final.,Hackner faced an impossible Ryan guard and shot stone with only one throw remaining in the tenth end.,"In the 1985 Brier tenth end, Ryan sat shot stone tucked behind a tight corner guard. Hackner required an extreme angle thin cut on the guard to redirect onto the buried winner, executing the miracle double to force an extra end.",Setup,Ryan Buries Shot Stone Behind Guard,Ryan Blanks Tenth End,Hackner Dilemma,Trailing by One Without Hammer,Trailing by Four Points,Delivery,Hackner Delivers Maximum Takeout Weight,Hackner Throws Soft Draw,First Contact,Thin Razor Cut on Outside Guard Edge,Nose Hit on Center Guard,Resolution,Shooter Traverses House to Spill Shot Rock,Shooter Jamming Back Stone
2026-12-16,Scoreboard Leverage Strategy,Arrange game-state situations from highest strategic urgency for an offensive multi-point end to lowest urgency.,Trailing by four points late demands aggressive corner guards; leading by three with hammer requires total defense.,"Teams chase offense with maximum risk when trailing 3+ without hammer, scale down to chasing a deuce when tied without hammer, balance play when tied with hammer, play conservative when up two, and play total open peels when up four.",Highest Risk Need,Trailing by Three Without Hammer,Leading by Three with Hammer,High Need,Trailing by Two with Hammer,Tied with Hammer,Balanced State,Tied Game with Hammer,Leading by One Without Hammer,Defensive State,Leading by Two with Hammer,Trailing by One with Hammer,Absolute Defense,Leading by Four in Final End,Tied in Extra End
2026-12-17,Eye on the Hog Sensor Timeline,Arrange the operational cycle of the electronic handle magnetic hog-line detection system during a delivery.,Magnets embedded under the ice trip the handle sensors when the stone passes the delivery hog line.,"The curler grips the capacitive sensor handle in the hack, holds continuous contact during the slide, crosses the near magnetic hog tape, releases grip before the sensor line, and verifies the green LED confirmation light.",Step 1,Capacitive Touch Activation in Hack,Depressing Push Button,Step 2,Continuous Slide Hand Contact,Rapid Finger Tapping,Step 3,Stone Reaches Under-Ice Magnet Strip,Crossing Center Pin,Step 4,Hand Release Before Hog Line Edge,Release Beyond Tee Line,Step 5,Handle LED Flashes Green Clearance,Red Violation Siren
2026-12-18,Wheelchair Mixed Doubles Procedural Flow,Arrange the governing steps of a Wheelchair Mixed Doubles end from stationary setup to conclusion.,Athletes deliver from anchored chairs using cue sticks without sweeping on dedicated lines.,"Wheelchair mixed doubles begins by clamping delivery wheels stationary on the center line, inserting the delivery cue onto the handle, executing an unassisted arm push release before the near hog line, and scoring without any sweeping allowed.",Step 1,Anchoring Wheelchair Wheels on Center Line,Positioning Hack Blocks,Step 2,Positioning Pre-Placed Stationary Rocks,Drawing for Last Stone,Step 3,Engaging Extender Delivery Head on Rock,Attaching Slider Sole,Step 4,Direct Arm Thrust Release Before Hog Line,Slide Foot Follow-Through,Step 5,Stone Travels with Zero Sweeping to House,Teammate Brushing Path
2026-12-19,Broomgate 2015 to WCF Sweeping Summit,Arrange the historical milestones of the 2015 directional sweeping controversy and subsequent equipment reform.,Hardened fabric broom heads altered stone physics until elite players boycotted and scientific testing standardized heads.,"In autumn 2015 directional fabrics emerged, teams boycotted artificial fabric heads, the World Curling Federation banned modified materials, the 2016 Sweeping Summit scientifically measured friction, and standardized yellow WCF cloth was mandated.",Autumn 2016,Directional Hard-Fabric Heads Emerge,Corn Straw Return,Late 2016,Elite Players Sign Joint Head Moratorium,Olympic Protest,Early 2017,World Curling Federation Interim Ban,Permanent Player Suspensions,May 2016,Kemptville Sweeping Summit Testing,Wind Tunnel Stone Trials,2016-17 Season,Mandatory Standardized WCF Mustard Fabric,Open Textile Freedom
2026-12-20,Adjudicating a Disturbed Moving Stone,Arrange the official World Curling officiating sequence when a moving rock is disturbed outside the hog line by an opponent.,The offending team commits the infraction and the delivering skip decides stone placement.,"When an opponent disturbs a stone in motion before the hog line, the delivering team skip has the authority to let the stone run, call for an immediate redelivery, or place the stone where it would have come to rest.",Infraction,Opponent Touches Moving Stone Before Hog,Sweeper Drops Glove in House,Immediate Call,Umpire Signals Rule Infraction,Chief Umpire Forfeits End,Delivering Choice,Delivering Skip Decides Allowed Remedy,Coin Toss by Umpire,Remedy Option A,Allow Shot to Stand or Order Redelivery,Opponent Throws Two Rocks,Remedy Option B,Place Stone Where Reasonable Run Concludes,Award Three Penalty Points
2026-12-21,Petrographic Structure of Ailsa Craig Granite,Arrange the physical and geological layers of an official competition stone from running contact band to insert core.,Blue Hone granite resists water penetration on the running band while Common Green forms the resilient shock body.,"Ailsa Craig Blue Hone granite provides an impervious, low-porosity running edge, bonded to a Common Green body that absorbs collisions, surrounded by a roughened striking zone, sealed with epoxy and secured with a steel spindle bolt.",Running Edge,Ailsa Craig Blue Hone Ring,Trefor Red Quartzite,Base Interface,High-Density Epoxy Joint,Vulcanized Rubber Gasket,Main Mass,Ailsa Craig Common Green Body,Basalt Lava Core,Perimeter,Micro-Peened Striking Band,Chrome Plated Rim,Axial Center,Central Steel Spindle Bore,Hollow Air Chamber
2026-12-22,Scottish Grand Match Organization,Arrange the operational stages of the historic Royal Caledonian Curling Club Grand Match on frozen outdoor lochs.,The Grand Match requires sustained freezing temperatures across Scotland before hundreds of rinks gather on natural loch ice.,"A Grand Match requires prolonged Scottish hard frost, safety ice thickness checks of seven inches on Loch Leven or Carsebreck, telegraph / radio mobilization of clubs, firing the starter signal cannon, and tallying North vs South scores.",Prerequisite,Prolonged Sub-Zero Frost Across Scotland,Artificial Ice Plant Startup,Safety Test,Ice Thickness Boring Exceeds 7 Inches,Laser Ice Scanning,Mobilization,RCCC Issues National Summoning Notice,Postal League Draw,Opening,Firing of the Midday Signal Cannon,Pipe Band Parade in Arena,Competition,Hundreds of Curler Rinks Battle North vs South,Four-Player Playoff Bracket
2026-12-23,Micrometer Dial Measuring Calibration,Arrange the technical steps followed by an official chief umpire measuring stones for shot rock with an engineering micrometer.,The umpire clears frost from the button pinhole before swinging the dial gauge between contesting stones.,"The umpire clears the center button insert, seats the ground anchor pin, adjusts the spring-loaded micrometer dial arm, sweeps the contact probe across stone A to set the baseline, and swings to stone B to determine the thousandth-of-an-inch winner.",Step 2,Clearing Debris from Center Button Pinhole,Spraying Hot Water on Ice,Step 3,Inserting Ground Center Anchor Spindle,Driving Anchor Spike into Ice,Step 4,Extending Telescopic Micrometer Arm,Attaching Flexible Tape Measure,Step 5,Sweeping Dial Gauge Across First Stone Biter,Touching Rock with Finger,Step 6,Reading Dial Deflection on Second Stone Biter,Eyeballing Gap from Above
2026-12-24,Post-Sweeping Summit Fabric Enforcement,Arrange the official championship equipment inspection protocol for brush heads conducted by World Curling umpires.,Brush heads are checked for WCF certification stamps and serial codes before game play.,"Umpires inspect team brush heads in the dressing room for valid WCF yellow fabric stamps, verify store barcodes, serialize heads to specific players, conduct random bench checks during game play, and confiscate illegal textured fabric heads.",Protocol 2,Pre-Tournament Fabric Code Registration,Weighing Broom Handles,Protocol 3,Verifying WCF Mustard Yellow Production Stamp,Thread Count Magnifier Check,Protocol 4,Barcoding and Player Serial Assignment,Laser Head Engraving,Protocol 5,Bench-Side Random Mid-Game Verification,Microfiber Wipe Sample,Protocol 6,Confiscation & Penalty for Unapproved Textures,Immediate Team Expulsion
2026-12-25,Scoring Determination at End Conclusion,Arrange the sequential process for determining points scored at the completion of an end.,All stones are checked against the house perimeter before comparing distances to the button.,"At the conclusion of an end: 1) Both vices inspect the house, 2) Stones outside the 12-foot ring are disqualified, 3) The closest stone to the button is identified as shot rock, 4) Additional stones of the same color closer than any opponent stone are counted, and 5) Both vices agree and record the end tally on the scoreboard.",Phase 2,House Inspection by Vice-Skips,Skip Draw to Button,Phase 3,Eliminating Stones Outside 12-Foot,Clearing Corner Guards,Phase 4,Identifying Closest Stone to Center Pin,Measuring Hack Distance,Phase 5,Tallying Consecutive Same-Color Counters,Counting All Rocks in Rings,Phase 6,Scorecard Confirmation & Board Posting,Immediate Extra End Flip
2026-12-26,Hog Line Violation Protocol,Arrange the step-by-step sequence when an electronic handle detects an illegal late delivery release.,The sensor handle trips before the stone clears the delivery line and must be removed by the delivering team.,"When a hog-line violation occurs: 1) The handle LED flashes red indicating illegal touch beyond the hog line, 2) The delivering player or skip immediately signals the infraction, 3) The stone is stopped and removed from play, 4) Any displaced stones are returned to original positions by the non-offending skip, and 5) The throw is marked as an illegal burnt stone.",Step 2,Handle Sensor Flashes Red Violation LED,Green Clearance Flash,Step 3,Delivering Team Declares Infraction,Opponent Calls Umpire Timeout,Step 4,Violating Rock Hauled from Ice Surface,Leaving Stone to Roll,Step 5,Non-Offending Skip Resets Displaced Rocks,Delivering Skip Replaces Stones,Step 6,Loss of Delivered Stone Recorded,Penalty Point Awarded to Opponent
2026-12-27,Scotties Tournament of Hearts Dynasties,Arrange these iconic Canadian women's skips in chronological order of their first national Scotties championship title.,Vera Pezer captured titles in the early 1970s; Kerri Einarson led a four-peat dynasty in the 2020s.,"Vera Pezer won her first Canadian women's title in 1971, Sandra Schmirler in 1993, Colleen Jones in 1999 (her modern era return before four straight), Jennifer Jones in 2005, and Kerri Einarson in 2020.",2033,Vera Pezer,Joyce McKee,2027,Sandra Schmirler,Shannon Kleibrink,2029,Colleen Jones,Kelly Scott,2031,Jennifer Jones,Rachel Homan,2024,Kerri Einarson,Chelsea Carey
2026-12-28,Curling Pop Culture & Media Moments,Arrange these famous curling pop-culture milestones in chronological order.,Paul Gross directed Men with Brooms in 2002; the Simpson family went curling at the 2010 Winter Games.,The comedy classic Men with Brooms debuted in Canadian cinemas in 2002; The Simpsons aired the curling-themed episode 'Boy Meets Curl' in 2010; Norwegian curling pants became a viral internet sensation at Sochi 2014; John Shuster's 'Miracurl' team appeared on US late-night circuits in 2018; and Lego released its fan-designed curling set in 2022.,2064,Men with Brooms Theatrical Release,Corner Gas Curling Match,2044,The Simpsons 'Boy Meets Curl' Episode,South Park Olympic Special,2044,Norwegian Loud Pants Viral Phenomenon,Swedish Broom Dance Meme,2044,Miracurl US Olympic Media Tour,Saturday Night Live Skip Sketch,2026,Lego Fan-Designed Curling Set Debut,Mattel Curling Board Game
2026-12-29,Slide Sole Slider Evolution,Arrange the historical transition of sliding footwear soles from lowest velocity friction to fastest modern materials.,Early sliding soles used leather and steel before progressive thicknesses of modern Teflon took over.,"Early curlers slid on soft harness leather soles, moved to thin red rubber and stainless steel sliders, transitioned to 1/8-inch standard Teflon in the 1980s, adopted 1/4-inch fast Teflon in the 1990s, and now use hardened 5/16-inch ultra-dense Teflon discs.",Earliest Era,Harness Leather Slide Sole,Bare Boot Rubber,Mid-Century,Polished Stainless Steel Slider,Cork Composite Plate,1980s Standard,1/8-Inch Standard Teflon Sheet,Neoprene Contact Layer,1990s Advance,1/4-Inch High-Speed Teflon Plate,Silicone Coated Fabric,Modern Elite,5/16-Inch Ultra-High-Density Teflon Discs,Ceramic Nanocoat Base
2026-12-30,Five-Stone Free Guard Zone Strategic Geometry,Arrange the opening five stones of an elite end demonstrating optimal five-rock offensive setup without hammer.,The non-hammer team places guards and house pressure; the hammer team seeks open corner angles.,"In a five-rock end without hammer: Rock 1 places a tight centre guard, Rock 2 (hammer) sets an off-centre corner guard, Rock 3 curls behind the centre guard into the 4-foot, Rock 4 (hammer) draws to the open corner wing, and Rock 5 buries a second freeze or guard before the FGZ expires.",Rock 1 (No Hammer),Tight Center Guard in FGZ,Open Center Draw,Rock 2 (Hammer),Corner Guard on Scoring Wing,Peel of Center Guard,Rock 3 (No Hammer),Burying Draw Behind Center Guard,Peel Opponent Corner Guard,Rock 4 (Hammer),Drawing Behind Corner Guard,Heavy Nose Takeout,Rock 5 (No Hammer),Freezing on Top of Shot Rock,Peeling Wing Corner Guard
2026-12-31,Tactical Execution of a Raise Takeout,Arrange the physical trajectory and force transfer stages of an angle raise takeout.,The thrown stone strikes an intermediate friendly guard to drive it into a target opponent rock.,"To execute an angle raise takeout: 1) Skip calls intermediate stone line and board-to-hack weight, 2) Thrown rock follows curling track toward target guard, 3) Thrown rock impacts friendly guard at calculated cut angle, 4) Guard accelerates along projected vector into opponent house stone, and 5) Target opponent stone is driven outside the 12-foot circle.",Phase 2,Calling Line & Board Weight at Intermediate Rock,Calling Maximum Peel Weight at House,Phase 3,Delivered Stone Curls Along Reading Track,Throwing Straight In-Turn Laser,Phase 4,Contact on Intermediate Guard at Cut Angle,Direct Head-On Nose Blast,Phase 5,Kinetic Energy Transfers to Propel Guard,Thrown Rock Slides Behind Guard,Phase 6,Target Opponent Stone Removed Past Back Line,Friendly Guard Settles on Button
2027-01-01,Enforcing the Official No-Tick Rule,Arrange the official officiating sequence when a delivered stone illegally breaches the No-Tick Rule.,The rule applies to guards touching the centre line in the free guard zone before the sixth stone.,"When an illegal tick occurs: 1) Delivered stone impacts a centre-line FGZ rock prior to the sixth stone, 2) The struck guard is observed moving away from the centre line, 3) Umpire rules a No-Tick violation, 4) Non-offending skip elects to remove delivered stone, and 5) Displaced centre-line stone is restored to its exact original pre-shot position.",Step 2,Contact on FGZ Center Guard Before Rock 7,Contact on House Biter After Rock 6,Step 3,Center-Line Guard Displaced from Line,Guard Ticked Inside Rings,Step 4,Chief Umpire Declares No-Tick Infraction,Skip Pleads Accidental Touch,Step 5,Delivered Rock Removed from Play Immediately,Delivered Rock Allowed to Stand,Step 6,Displaced Guard Restored to Original Mark,Displaced Guard Left on Wing
2027-01-02,Grand Slam Triple Knockout Bracket Progression,Arrange the tournament bracket paths in a Grand Slam Triple Knockout format from direct qualification to elimination.,Teams enter through the A-Event; a third loss results in complete tournament elimination.,In a Grand Slam Triple Knockout: Teams begin in the A-Event (qualifying with zero losses); first defeat drops a team to the B-Event (qualifying with one loss); second defeat drops a team to the C-Event (qualifying with two losses); while a third defeat causes elimination from the event.,Initial Path,A-Event Main Bracket (Undefeated),C-Event Scramble,Second Chance,B-Event Lower Bracket (One Loss),Tiebreaker Round-Robin,Final Chance,C-Event Knockout (Two Losses),Silver Consolation Plate,Playoff Berth,Advancing to Eight-Team Quarterfinals,Entering Four-Team Page Playoff,Exit Point,Third Loss Elimination from Tournament,Voluntary Re-Entry Draw
2027-01-03,Wheelchair Mixed Doubles Paralympic Milestones,Arrange the developmental milestones of Wheelchair Mixed Doubles from introductory trials to full Paralympic program inclusion.,The two-person wheelchair discipline evolved from initial testing to an official medal sport in 2026.,The World Curling Federation introduced wheelchair mixed doubles exhibition testing in 2018; approved official international rules in 2020; held the inaugural World Wheelchair Mixed Doubles Championship in Lohja in 2022; and the International Paralympic Committee officially added it for the Milano-Cortina 2026 Winter Paralympics.,2019,International Exhibition Testing Trials,Four-Person Rule Repeal,2021,World Curling Formal Rulebook Adoption,Stick Sweeping Authorization,2023,Inaugural World Championship in Lohja,First Paralympic Demonstration,2025,Olympic Qualification System Ratification,Wheelchair Power Play Ban,2027,Milano-Cortina Official Paralympic Debut,Los Angeles Adaptive Games
2027-01-04,Petrographic Analysis of Competition Curling Stones,Arrange the mineralogical and engineering layers of an Ailsa Craig Blue Hone insert curling stone from running edge to crown.,Blue Hone microcrystalline granite resists water infiltration while the surrounding body absorbs kinetic collision energy.,"An Olympic-grade stone features: 1) The ultra-dense Ailsa Craig Blue Hone microcrystalline running edge insert, 2) High-tensile structural epoxy bonding joint, 3) Shock-absorbing Ailsa Craig Common Green quartz body, 4) Impact-absorbing Treblessed outer perimeter band, and 5) Top crown drilled for handle spindle assembly.",Basal Contact,Blue Hone Microcrystalline Running Insert,Porous Sandstone Ring,Bonding Plane,High-Shear Structural Epoxy Joint,Lead Solder Seam,Core Volume,Common Green Coarse Quartz Granite Body,Metamorphic Marble Core,Perimeter Ring,Treblessed Mechanical Impact Striking Band,Polished Glass Rim,Top Surface,Contoured Crown Drilled for Center Spindle,Cast Iron Screw Plate
2027-01-05,WCF Thinking Time Allotment Ladder,Arrange the official World Curling thinking-time allotments from shortest duration to longest standard match allowance.,Wheelchair and ten-end games receive more thinking time than eight-end and mixed doubles formats.,Thinking time per team: Extra end in Mixed Doubles receives 2 minutes 45 seconds; Extra end in standard four-person receives 4 minutes 30 seconds; Mixed Doubles eight-end game receives 22 minutes; Standard four-person eight-end game receives 30 minutes; Standard ten-end championship game receives 38 minutes.,Shortest,Mixed Doubles Extra End (2 min 45 sec),One Minute Strategic Timeout,Short,Standard Four-Person Extra End (4 min 30 sec),Two Minute Break Clock,Intermediate,Mixed Doubles Regulation (22 min per team),Twenty Minute Half-Time,Long,Eight-End Regulation (30 min per team),Twenty-Five Minute Wheelchair,Longest,Ten-End Regulation (38 min per team),Fifty Minute Open Match
2027-01-06,Historical Evolution of the Guard Protection Rules,Arrange the developmental rules designed to prevent immediate guard peelings in chronological sequence.,The sport evolved from unprotected open hitting to the five-rock rule and modern no-tick protections.,Curling historically evolved from the open-peel era with zero guard protection; to the experimental 1990 Moncton 4-stone rule; to the 1993 3-stone Free Guard Zone; to the 2002 standard 4-stone FGZ; to the 2018 universal 5-stone FGZ rule.,Pre-1991,Unrestricted Open Peeling Era,Unlimited Tick Rule,1991,Moncton Experimental Four-Stone Rule,Scottish Ice League Trials,1994,Inaugural Three-Stone Free Guard Zone,Two-Stone Button Lockdown,2003,Universal Four-Stone Free Guard Zone,Six-Stone Zone Trial,2019,Universal Five-Stone Free Guard Zone,Total No-Peel Regulation
2027-01-07,Decisive Men's World Championship Winning Shots,Arrange these iconic championship-winning final shots in Men's World Curling Championship finals chronologically.,Pat Ryan played a runback to seal the 1989 title; Bruce Mouat won his world crown with a clutch final draw in 2023.,In 1989 Pat Ryan executed his trademark runback takeout in Milwaukee; in 2004 Peja Lindholm drew through an impossible port in Gävle; in 2010 Kevin Martin drew the four-foot in Cortina d'Ampezzo; in 2018 Niklas Edin executed a raised double in Las Vegas; and in 2023 Bruce Mouat drew the button in Ottawa.,1990 Milwaukee,Pat Ryan Controlled Runback Takeout,Ernie Richardson Soft Peel,2005 Gävle,Peja Lindholm Port Draw to Button,David Murdoch Corner Freeze,2011 Cortina,Kevin Martin Out-Turn Draw to Four-Foot,Thomas Ulsrud Heavy Peel,2019 Las Vegas,Niklas Edin Angled Raise Double,Brad Gushue Split House Hit,2024 Ottawa,Bruce Mouat Pinpoint Button Draw,Niklas Edin Corner Bumper
